2025-06-18 10:13:01,128 - INFO - Creado estándar para producto 10210161282, proceso: 2370, máquina 1421
2025-06-18 10:13:01,131 - INFO - Creado estándar para producto 10210161282, proceso: 2320, máquina 1601
2025-06-18 10:13:01,135 - INFO - Creado estándar para producto 10210161282, proceso: 3060, máquina 2002
2025-06-18 10:13:01,137 - INFO - Creado estándar para producto 10210161282, proceso: 6090, máquina 6010
2025-06-18 10:13:01,139 - INFO - Creado estándar para producto 10210161363, proceso: 1020, máquina 1002
2025-06-18 10:13:01,141 - INFO - Creado estándar para producto 10210161363, proceso: 2150, máquina 1207
2025-06-18 10:13:01,145 - INFO - Creado estándar para producto 10210161363, proceso: 2395, máquina 1402
2025-06-18 10:13:01,147 - INFO - Creado estándar para producto 10210161363, proceso: 2320, máquina 1601
2025-06-18 10:13:01,150 - INFO - Creado estándar para producto 10210161363, proceso: 3060, máquina 2002
2025-06-18 10:13:01,153 - INFO - Creado estándar para producto 10210161363, proceso: 6090, máquina 6010
2025-06-18 10:13:01,155 - INFO - Creado estándar para producto 10210161444, proceso: 1020, máquina 1002
2025-06-18 10:13:01,157 - INFO - Creado estándar para producto 10210161444, proceso: 2150, máquina 1207
2025-06-18 10:13:01,161 - INFO - Creado estándar para producto 10210161444, proceso: 2370, máquina 1421
2025-06-18 10:13:01,164 - INFO - Creado estándar para producto 10210161444, proceso: 2320, máquina 1601
2025-06-18 10:13:01,166 - INFO - Creado estándar para producto 10210161444, proceso: 3060, máquina 2002
2025-06-18 10:13:01,169 - INFO - Creado estándar para producto 10210161525, proceso: 1020, máquina 1002
2025-06-18 10:13:01,171 - INFO - Creado estándar para producto 10210161525, proceso: 2150, máquina 1207
2025-06-18 10:13:01,173 - INFO - Creado estándar para producto 10210161525, proceso: 2395, máquina 1402
2025-06-18 10:13:01,178 - INFO - Creado estándar para producto 10210161525, proceso: 2320, máquina 1601
2025-06-18 10:13:01,181 - INFO - Creado estándar para producto 10210161525, proceso: 3060, máquina 2002
2025-06-18 10:13:01,184 - INFO - Creado estándar para producto 10210161525, proceso: 6090, máquina 6010
2025-06-18 10:13:01,186 - INFO - Creado estándar para producto 10210161606, proceso: 1020, máquina 1002
2025-06-18 10:13:01,188 - INFO - Creado estándar para producto 10210161606, proceso: 2150, máquina 1207
2025-06-18 10:13:01,191 - INFO - Creado estándar para producto 10210161606, proceso: 2370, máquina 1421
2025-06-18 10:13:01,194 - INFO - Creado estándar para producto 10210161606, proceso: 2320, máquina 1601
2025-06-18 10:13:01,197 - INFO - Creado estándar para producto 10210161606, proceso: 3060, máquina 2002
2025-06-18 10:13:01,200 - INFO - Creado estándar para producto 10210161606, proceso: 6090, máquina 6010
2025-06-18 10:13:01,203 - INFO - Creado estándar para producto 10210162483, proceso: 1020, máquina 1002
2025-06-18 10:13:01,205 - INFO - Creado estándar para producto 10210162483, proceso: 2150, máquina 1207
2025-06-18 10:13:01,209 - INFO - Creado estándar para producto 10210162483, proceso: 2395, máquina 1431
2025-06-18 10:13:01,212 - INFO - Creado estándar para producto 10210162483, proceso: 2320, máquina 1601
2025-06-18 10:13:01,215 - INFO - Creado estándar para producto 10210162483, proceso: 3060, máquina 2006
2025-06-18 10:13:01,218 - INFO - Creado estándar para producto 10210162483, proceso: 6090, máquina 6010
2025-06-18 10:13:01,220 - INFO - Creado estándar para producto 10210162785, proceso: 1020, máquina 1002
2025-06-18 10:13:01,223 - INFO - Creado estándar para producto 10210162785, proceso: 2150, máquina 1207
2025-06-18 10:13:01,226 - INFO - Creado estándar para producto 10210162785, proceso: 2395, máquina 1431
2025-06-18 10:13:01,229 - INFO - Creado estándar para producto 10210162785, proceso: 2320, máquina 1601
2025-06-18 10:13:01,231 - INFO - Creado estándar para producto 10210162785, proceso: 3060, máquina 2006
2025-06-18 10:13:01,235 - INFO - Creado estándar para producto 10210162785, proceso: 6090, máquina 6010
2025-06-18 10:13:01,237 - INFO - Creado estándar para producto 10210200326, proceso: 1020, máquina 1002
2025-06-18 10:13:01,239 - INFO - Creado estándar para producto 10210200326, proceso: 2150, máquina 1202
2025-06-18 10:13:01,242 - INFO - Creado estándar para producto 10210200326, proceso: 2395, máquina 1402
2025-06-18 10:13:01,246 - INFO - Creado estándar para producto 10210200326, proceso: 3020, máquina 1835
2025-06-18 10:13:01,248 - INFO - Creado estándar para producto 10210200326, proceso: 6090, máquina 6010
2025-06-18 10:13:01,251 - INFO - Creado estándar para producto 10210200369, proceso: 1020, máquina 1002
2025-06-18 10:13:01,253 - INFO - Creado estándar para producto 10210200369, proceso: 2150, máquina 1202
2025-06-18 10:13:01,255 - INFO - Creado estándar para producto 10210200369, proceso: 2395, máquina 1402
2025-06-18 10:13:01,257 - INFO - Creado estándar para producto 10210200369, proceso: 2320, máquina 1601
